,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
0,7-ELEVEN 32437 E,2 BROCKTON AVE,ABINGTON,"$1,824,499.25","$2,134,152.75","$1,824,499.25","$1,783,982.25","$1,690,894.75"
1,7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$1,731,134.50","$2,376,852.25","$1,731,134.50","$180,081.50","$1,864,933.75"
2,7-ELEVEN 37406,945 BEDFORD ST,ABINGTON,"$1,731,134.50","$2,376,852.25","$1,731,134.50","$1,343,457.75","$1,864,933.75"
3,7-ELEVEN 37490,145 N QUINCY ST,ABINGTON,"$1,979,688.75","$2,408,360.75","$1,979,688.75","$1,792,127.50","$1,339,809.00"
4,ABINGTON ALE HOUSE,1235 BEDFORD ST,ABINGTON,"$741,818.00","$409,520.00","$741,818.00","$813,576.25","$850,455.75"
5,ABINGTON COUNTRY STORE,852 HANCOCK STREET,ABINGTON,"$1,454,424.50","$1,126,438.00","$1,454,424.50","$1,362,278.75","$1,310,424.50"
6,ABINGTON DEPOT,101 RAILROAD ST,ABINGTON,"$286,927.75","$277,024.00","$286,927.75","$292,550.00","$270,825.50"
7,ABINGTON LIQUORS,585 WASHINGTON STREET,ABINGTON,"$487,656.50","$527,288.00","$487,656.50","$364,054.50","$269,099.25"
8,ABINGTON SUNOCO,907 BEDFORD ST,ABINGTON,"$65,715.50","$48,481.75","$65,715.50","$70,060.75","$59,589.50"
9,ALLTOWN #2727,906 BEDFORD ST,ABINGTON,"$444,649.25","$503,300.25","$444,649.25","$425,600.00","$414,868.75"
10,BEMIS DRUG CO INC,6 BRIGHTON ST,ABINGTON,"$519,578.25","$286,356.00","$519,578.25","$519,804.00","$494,902.00"
11,BILLY'S LIQUORS,760 BROCKTON AVE,ABINGTON,"$505,067.25","$749,799.75","$505,067.25","$478,229.25","$315,536.00"
12,BRENNAN'S NEWS,224 CENTRE AVE,ABINGTON,"$1,457,945.25","$1,840,216.50","$1,457,945.25","$1,459,123.00","$1,369,681.75"
13,CELLAR TAVERN,221 NORTH ST,ABINGTON,"$563,307.25","$620,818.00","$563,307.25","$547,191.00","$484,316.00"
14,CENTRE AVENUE SUNOCO,336 CENTRE AVENUE,ABINGTON,"$1,382,496.50","$1,295,783.50","$1,382,496.50","$1,233,274.50","$902,546.25"
15,J D  VARIETY,201 N QUINCY ST,ABINGTON,"$1,343,527.25","$2,754,354.00","$1,343,527.25","$1,418,253.50","$1,468,332.50"
16,JP RYAN'S TAVERN,246 BROCKTON AVE,ABINGTON,"$613,097.50","$658,275.50","$613,097.50","$652,155.00","$728,965.00"
17,KNIGHTS OF COLUMBUS,254 HANCOCK ST,ABINGTON,"$103,032.25","$52,160.50","$103,032.25","$99,779.25","$142,141.00"
18,LYNCH'S TAVERN,236 NORTH AVE,ABINGTON,"$445,876.50","$591,207.50","$445,876.50","$372,371.00","$298,010.00"
19,MARYLOU'S NEWS,1501 BEDFORD ST,ABINGTON,"$134,633.00","$125,822.50","$134,633.00","$162,756.75","$182,388.00"
20,MIA REGAZZA,268 WASHINGTON ST,ABINGTON,"$449,936.00","$439,207.00","$449,936.00","$419,358.25","$384,468.75"
